car_ID,CarName,fueltype,horsepower,enginesize,doornumber,citympg,highwaympg,carbody,price
1,alfa-romero giulia,gas,111,130,two,21,27,convertible,13495.0
2,alfa-romero stelvio,gas,111,130,two,21,27,convertible,16500.0
3,alfa-romero Quadrifoglio,gas,154,152,two,19,26,hatchback,16500.0
4,audi 100 ls,gas,102,109,four,24,30,sedan,13950.0
5,audi 100ls,gas,115,136,four,18,22,sedan,17450.0
6,audi fox,gas,110,136,two,19,25,sedan,15250.0
7,audi 100ls,gas,110,136,four,19,25,sedan,17710.0
8,audi 5000,gas,110,136,four,19,25,wagon,18920.0
9,audi 4000,gas,140,131,four,17,20,sedan,23875.0
10,audi 5000s (diesel),gas,160,131,two,16,22,hatchback,17859.167
11,bmw 320i,gas,101,108,two,23,29,sedan,16430.0
12,bmw 320i,gas,101,108,four,23,29,sedan,16925.0
13,bmw x1,gas,121,164,two,21,28,sedan,20970.0
14,bmw x3,gas,121,164,four,21,28,sedan,21105.0
15,bmw z4,gas,121,164,four,20,25,sedan,24565.0
16,bmw x4,gas,182,209,four,16,22,sedan,30760.0
17,bmw x5,gas,182,209,two,16,22,sedan,41315.0
18,bmw x3,gas,182,209,four,15,20,sedan,36880.0
19,chevrolet impala,gas,48,61,two,47,53,hatchback,5151.0
20,chevrolet monte carlo,gas,70,90,two,38,43,hatchback,6295.0
21,chevrolet vega 2300,gas,70,90,four,38,43,sedan,6575.0
22,dodge rampage,gas,68,90,two,37,41,hatchback,5572.0
23,dodge challenger se,gas,68,90,two,31,38,hatchback,6377.0
24,dodge d200,gas,102,98,two,24,30,hatchback,7957.0
25,dodge monaco (sw),gas,68,90,four,31,38,hatchback,6229.0
26,dodge colt hardtop,gas,68,90,four,31,38,sedan,6692.0
27,dodge colt (sw),gas,68,90,four,31,38,sedan,7609.0
28,dodge coronet custom,gas,102,98,two,24,30,sedan,8558.0
29,dodge dart custom,gas,88,122,four,24,30,wagon,8921.0
30,dodge coronet custom (sw),gas,145,156,two,19,24,hatchback,12964.0
31,honda civic,gas,58,92,two,49,54,hatchback,6479.0
32,honda civic cvcc,gas,76,92,two,31,38,hatchback,6855.0
